               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.013474,           0.0043811,           0.0042794,             0.65255,             0.56086,             0.57299,             0.39932,             0.01325,           0.0048291,           0.0058389,           0.0020703,           0.0020703,           0.0020703
                 133,            0.013521,           0.0044831,           0.0041279,             0.65401,             0.55834,              0.5757,             0.40028,            0.013247,           0.0048272,           0.0058334,           0.0020558,           0.0020558,           0.0020558
                 134,            0.013554,           0.0044468,           0.0042264,             0.64993,             0.56486,             0.57563,             0.39952,            0.013246,           0.0048203,            0.005814,           0.0020413,           0.0020413,           0.0020413
                 135,            0.013443,           0.0044531,           0.0040726,             0.65465,             0.55995,             0.57488,             0.40062,            0.013244,           0.0048146,           0.0057911,           0.0020268,           0.0020268,           0.0020268
                 136,            0.013429,           0.0044604,            0.004028,             0.66059,             0.55792,             0.57602,             0.40164,            0.013244,           0.0048163,            0.005791,           0.0020123,           0.0020123,           0.0020123
                 137,            0.013451,           0.0044127,           0.0040482,              0.6644,             0.55671,             0.57742,             0.40111,            0.013238,           0.0048153,              0.0058,           0.0019977,           0.0019977,           0.0019977
                 138,            0.013268,           0.0044952,            0.003968,             0.64732,             0.56731,             0.57799,             0.40124,            0.013217,           0.0048096,           0.0058128,           0.0019831,           0.0019831,           0.0019831
                 139,            0.013217,           0.0043839,           0.0039117,             0.68748,             0.53419,             0.57881,             0.40134,            0.013196,           0.0048077,           0.0058369,           0.0019685,           0.0019685,           0.0019685
                 140,            0.013097,           0.0043251,           0.0039323,             0.67519,             0.53967,              0.5786,             0.40015,            0.013167,           0.0048093,           0.0058424,           0.0019538,           0.0019538,           0.0019538
                 141,            0.013159,           0.0044072,           0.0038889,             0.68605,             0.53177,             0.57981,             0.40104,            0.013161,           0.0048077,           0.0058491,           0.0019392,           0.0019392,           0.0019392
                 142,            0.013325,            0.004402,           0.0038729,              0.6901,             0.53174,             0.57988,             0.40044,            0.013151,           0.0048013,           0.0058356,           0.0019245,           0.0019245,           0.0019245
                 143,            0.013268,           0.0043946,           0.0039533,             0.69517,             0.53467,             0.58199,             0.40137,            0.013141,           0.0048006,           0.0058415,           0.0019098,           0.0019098,           0.0019098
                 144,            0.013198,            0.004447,           0.0038659,             0.60884,             0.60882,             0.58388,             0.40218,            0.013139,           0.0048066,           0.0058432,           0.0018951,           0.0018951,           0.0018951
